date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,top10_ratio,decay,modified_turn,score,basket,average-5-periods-return,5-periods-winning,average-10-periods-return,10-periods-winning,average-20-periods-return,20-periods-winning,score_raw,basket_raw,average-5-periods-return_raw,5-periods-winning_raw,average-10-periods-return_raw,10-periods-winning_raw,average-20-periods-return_raw,20-periods-winning_raw,score_adj,basket_adj,average-5-periods-return_adj,5-periods-winning_adj,average-10-periods-return_adj,10-periods-winning_adj,average-20-periods-return_adj,20-periods-winning_adj
2023-09-22,sz.002384,16.762107,17.321498,16.722852,17.282243,16.811176,24071995,420065630.85,2,1.7315,1,2.8021,0,23.549,1.232122,2.133419,-0.4199884618311156,1.0,0.0017035404490028,True,0.0420215709268754,True,0.0698466628434746,True,-0.4199884618311156,1.0,0.0017035404490028938,true,0.04202157092687542,true,0.06984666284347463,true,-0.42785426211734756,1.0,0.0017035404490028938,true,0.04202157092687542,true,0.06984666284347463,true
2023-09-25,sz.002384,17.252801,17.360754,16.830804,16.987826,17.282243,24052801,417130534.98,2,1.7301,1,-1.7036,0,23.549,1.232122,2.131694,-0.4268879176265197,1.0,0.0225303696894469,True,0.0398613689591593,True,0.0808780947014644,True,-0.4268879176265197,1.0,0.022530369689446994,true,0.03986136895915937,true,0.08087809470146445,true,-0.4347378938376658,1.0,0.022530369689446994,true,0.03986136895915937,true,0.08087809470146445,true
2023-09-26,sz.002384,16.919129,17.017268,16.64434,16.683596,16.987826,25723792,438957069.36,2,1.8503,1,-1.7909,0,23.549,1.232122,2.279795,-0.4463707158111213,1.0,0.0735294117647058,True,0.0358823721216936,True,0.0900000215780818,True,-0.4463707158111213,1.0,0.07352941176470584,true,0.03588237212169365,true,0.09000002157808185,true,-0.4548822320521959,1.0,0.07352941176470584,true,0.03588237212169365,true,0.09000002157808185,true
2023-09-27,sz.002384,16.663968,17.04671,16.595271,16.87006,16.683596,28790003,494248769.24,2,2.0708,1,1.1176,0,23.549,1.232122,2.551478,-0.4351711097531181,1.0,0.1146014892655984,True,0.0034903847407774,True,0.0610819997083591,True,-0.4351711097531181,1.0,0.11460148926559843,true,0.0034903847407774524,true,0.06108199970835915,true,-0.44407800734004,1.0,0.11460148926559843,true,0.0034903847407774524,true,0.06108199970835915,true
2023-09-28,sz.002384,16.87006,17.115407,16.801363,17.017268,16.87006,21309748,368525276.52,2,1.5328,1,0.8726,0,23.549,1.232122,1.888597,-0.4229530332216638,1.0,0.106113037650932,True,-0.042675886634682,False,0.0928489226355251,True,-0.4229530332216638,1.0,0.10611303765093205,true,-0.042675886634682025,false,0.09284892263552513,true,-0.43127629686570756,1.0,0.10611303765093205,true,-0.042675886634682025,false,0.09284892263552513,true
2023-10-09,sz.002384,16.99764,17.537404,16.879874,17.311684,17.017268,27898435,489673528.4,2,2.0067,1,1.7301,0,23.549,1.232122,2.472499,-0.4032425468976917,1.0,0.0402494638880885,True,-0.0787981689129723,False,0.1258503794316026,True,-0.4032425468976917,1.0,0.04024946388808859,true,-0.07879816891297231,false,0.1258503794316026,true,-0.41133367926396736,1.0,0.04024946388808859,true,-0.07879816891297231,false,0.1258503794316026,true
2023-10-10,sz.002384,17.370568,17.517776,17.252801,17.370568,17.311684,21293976,376718321.25,2,1.5316,1,0.3401,0,23.549,1.232122,1.887118,-0.3880128196661081,1.0,0.0169491291246206,True,-0.06271188138465,False,0.1101694544473157,True,-0.3880128196661081,1.0,0.016949129124620654,true,-0.06271188138465,false,0.11016945444731574,true,-0.39480685423015527,1.0,0.016949129124620654,true,-0.06271188138465,false,0.11016945444731574,true
2023-10-11,sz.002384,17.458893,18.3127,17.380381,17.910331,17.370568,51002875,931192318.24,2,3.6685,1,3.1073,0,23.549,1.232122,4.52004,-0.3170199285049321,1.0,-0.0350684752839016,False,-0.0449314979159235,False,0.0723287581898961,True,-0.3170199285049321,1.0,-0.03506847528390167,false,-0.044931497915923546,false,0.07232875818989615,true,-0.31877500404778025,1.0,-0.03506847528390167,false,-0.044931497915923546,false,0.07232875818989615,true
2023-10-12,sz.002384,18.13605,19.038927,18.037911,18.803394,17.910331,75880709,1449231967.84,2,5.458,1,4.9863,0,23.549,1.232122,6.724922,-0.1659310793552104,2.0,-0.0996868437687367,False,-0.0939456993774635,False,0.0156575988356144,True,-0.1659310793552104,2.0,-0.09968684376873671,false,-0.09394569937746355,false,0.01565759883561446,true,-0.172739218680725,2.0,-0.09968684376873671,false,-0.09394569937746355,false,0.01565759883561446,true
2023-10-13,sz.002384,18.734697,19.09781,18.440281,18.823022,18.803394,43018674,823687627.5,2,3.0943,1,0.1044,0,23.549,1.232122,3.812555,-0.1461066553912805,2.0,-0.1345151166481132,False,-0.0328467448000645,False,0.0041710093097695,True,-0.14610665539128054,2.0,-0.13451511664811322,false,-0.03284674480006455,false,0.004171009309769547,true,-0.1129100550762359,2.0,-0.13451511664811322,false,-0.03284674480006455,false,0.004171009309769547,true
