date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,top10_ratio,decay,modified_turn
2003-05-20,sh.600522,1.429535,1.429535,1.370888,1.381151,1.422204,1030884,9785133.000000,2,1.472691,1,-2.890000,0,0.000000,1.000000,1.472691
2003-05-21,sh.600522,1.381151,1.411941,1.378219,1.382617,1.381151,742288,7051519.000000,2,1.060411,1,0.110000,0,0.000000,1.000000,1.060411
2003-05-22,sh.600522,1.385550,1.392880,1.360624,1.389948,1.382617,670660,6321671.000000,2,0.958086,1,0.530000,0,0.000000,1.000000,0.958086
2003-05-23,sh.600522,1.400211,1.433934,1.378219,1.406076,1.389948,1299749,12479420.000000,2,1.856784,1,1.160000,0,0.000000,1.000000,1.856784
2003-05-26,sh.600522,1.419272,1.439799,1.409009,1.414873,1.406076,1208961,11764493.000000,2,1.727087,1,0.630000,0,0.000000,1.000000,1.727087
2003-05-27,sh.600522,1.420738,1.463258,1.407542,1.444197,1.414873,2303425,22745133.000000,2,3.290607,1,2.070000,0,0.000000,1.000000,3.290607
2003-05-28,sh.600522,1.441265,1.458859,1.422204,1.425137,1.444197,1200647,11765413.000000,2,1.715210,1,-1.320000,0,0.000000,1.000000,1.715210
2003-05-29,sh.600522,1.433934,1.488183,1.426603,1.486717,1.425137,2938215,29379332.000000,2,4.197450,1,4.320000,0,0.000000,1.000000,4.197450
2003-05-30,sh.600522,1.517507,1.560026,1.510176,1.513108,1.486717,7932832,82990015.000000,2,11.332617,1,1.780000,0,0.000000,1.000000,11.332617
2003-06-02,sh.600522,1.507243,1.510176,1.473521,1.492581,1.513108,1860841,18878108.000000,2,2.658344,1,-1.360000,0,0.000000,1.000000,2.658344
2003-06-03,sh.600522,1.495514,1.505777,1.466190,1.470589,1.492581,1223694,12336177.000000,2,1.748134,1,-1.470000,0,0.000000,1.000000,1.748134
2003-06-04,sh.600522,1.466190,1.477920,1.419272,1.457393,1.470589,1478499,14579298.000000,2,2.112141,1,-0.900000,0,0.000000,1.000000,2.112141
2003-06-05,sh.600522,1.457393,1.457393,1.420738,1.422204,1.457393,896646,8774685.000000,2,1.280923,1,-2.410000,0,0.000000,1.000000,1.280923
2003-06-06,sh.600522,1.407542,1.448596,1.407542,1.417806,1.422204,738304,7183608.000000,2,1.054720,1,-0.310000,0,0.000000,1.000000,1.054720
2003-06-09,sh.600522,1.410389,1.423751,1.373274,1.376243,1.417812,603749,5659545.000000,2,0.862499,1,-2.930000,0,0.000000,1.000000,0.862499
2003-06-10,sh.600522,1.379212,1.395543,1.377727,1.382181,1.376243,384689,3589152.000000,2,0.549556,1,0.430000,0,0.000000,1.000000,0.549556
2003-06-11,sh.600522,1.383666,1.414843,1.383666,1.408904,1.382181,477642,4517519.000000,2,0.682346,1,1.930000,0,0.000000,1.000000,0.682346
2003-06-12,sh.600522,1.411874,1.444535,1.411874,1.423751,1.408904,505267,4851538.000000,2,0.721810,1,1.050000,0,0.000000,1.000000,0.721810
2003-06-13,sh.600522,1.425235,1.448989,1.407420,1.432658,1.423751,686034,6602632.000000,2,0.980049,1,0.630000,0,0.000000,1.000000,0.980049
2003-06-16,sh.600522,1.432658,1.444535,1.410389,1.419297,1.432658,469820,4505953.000000,2,0.671171,1,-0.930000,0,0.000000,1.000000,0.671171
2003-06-17,sh.600522,1.426720,1.438597,1.410389,1.420781,1.419297,333216,3191707.000000,2,0.476023,1,0.100000,0,0.000000,1.000000,0.476023
2003-06-18,sh.600522,1.437112,1.468289,1.425235,1.443051,1.420781,974475,9557274.000000,2,1.392107,1,1.570000,0,0.000000,1.000000,1.392107
2003-06-19,sh.600522,1.441566,1.454928,1.413358,1.419297,1.443051,574933,5507895.000000,2,0.821333,1,-1.650000,0,0.000000,1.000000,0.821333
2003-06-20,sh.600522,1.417812,1.429689,1.402966,1.407420,1.419297,359990,3440049.000000,2,0.514271,1,-0.840000,0,0.000000,1.000000,0.514271
2003-06-23,sh.600522,1.407420,1.407420,1.371789,1.373274,1.407420,530174,4941926.000000,2,0.757391,1,-2.430000,0,0.000000,1.000000,0.757391
2003-06-24,sh.600522,1.365850,1.394058,1.365850,1.376243,1.373274,348415,3225734.000000,2,0.497736,1,0.220000,0,0.000000,1.000000,0.497736
2003-06-25,sh.600522,1.377727,1.386635,1.327250,1.330220,1.376243,562050,5101005.000000,2,0.802929,1,-3.340000,0,0.000000,1.000000,0.802929
2003-06-26,sh.600522,1.330220,1.377727,1.318343,1.364366,1.330220,901560,8181289.000000,2,1.287943,1,2.570000,0,0.000000,1.000000,1.287943
2003-06-27,sh.600522,1.362881,1.362881,1.322796,1.322796,1.364366,497052,4487381.000000,2,0.710074,1,-3.050000,0,0.000000,1.000000,0.710074
2003-06-30,sh.600522,1.306466,1.333189,1.302012,1.307950,1.322796,425008,3764117.000000,2,0.607154,1,-1.120000,0,0.000000,1.000000,0.607154
2003-07-01,sh.600522,1.307950,1.331704,1.303496,1.304981,1.307950,350800,3116559.000000,2,0.501143,1,-0.230000,0,0.000000,1.000000,0.501143
2003-07-02,sh.600522,1.304981,1.321312,1.296073,1.321312,1.304981,358269,3171500.000000,2,0.511813,1,1.250000,0,0.000000,1.000000,0.511813
2003-07-03,sh.600522,1.324281,1.345066,1.313889,1.336158,1.321312,336142,3015924.000000,2,0.480203,1,1.120000,0,0.000000,1.000000,0.480203
2003-07-04,sh.600522,1.343581,1.349520,1.324281,1.331704,1.336158,356422,3205790.000000,2,0.509174,1,-0.330000,0,0.000000,1.000000,0.509174
2003-07-07,sh.600522,1.343581,1.355458,1.315373,1.355458,1.331704,359620,3237574.000000,2,0.513743,1,1.780000,0,0.000000,1.000000,0.513743
2003-07-08,sh.600522,1.355458,1.371789,1.349520,1.368820,1.355458,644523,5917402.000000,2,0.920747,1,0.990000,0,0.000000,1.000000,0.920747
2003-07-09,sh.600522,1.370304,1.370304,1.352489,1.353973,1.368820,331000,3029257.000000,2,0.472857,1,-1.080000,0,0.000000,1.000000,0.472857
2003-07-10,sh.600522,1.349520,1.380697,1.349520,1.379212,1.353973,701310,6465206.000000,2,1.001871,1,1.860000,0,0.000000,1.000000,1.001871
