date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,top10_ratio,decay,modified_turn,score_raw,basket_raw,average-5-periods-return_raw,5-periods-winning_raw,average-10-periods-return_raw,10-periods-winning_raw,average-20-periods-return_raw,20-periods-winning_raw,score_adj,basket_adj,average-5-periods-return_adj,5-periods-winning_adj,average-10-periods-return_adj,10-periods-winning_adj,average-20-periods-return_adj,20-periods-winning_adj
2019-09-02,sz.002281,27.347101,28.453298,27.106624,28.299392,27.47215,21900454,636664331.94,2,3.4842,1,3.0112,0,55.559,1.800089,6.271871,0.23127694162770973,3.0,0.11522774058184715,true,0.03772943249098781,true,-0.033650581609668606,false,0.3245739835051633,4.0,0.11522774058184715,true,0.03772943249098781,true,-0.033650581609668606,false
2019-09-03,sz.002281,28.309011,29.29016,28.251297,28.972729,28.299392,26080577,782731590.87,2,4.1492,1,2.3793,0,55.559,1.800089,7.46893,0.35956547441650566,4.0,0.05179284284887342,true,0.018592311411189444,true,-0.03419653702624981,false,0.3697638143270138,4.0,0.05179284284887342,true,0.018592311411189444,true,-0.03419653702624981,false
2019-09-04,sz.002281,28.828443,29.145873,28.549489,28.915015,28.972729,17423432,521789046.97,2,2.772,1,-0.1992,0,55.559,1.800089,4.989847,0.358619690184929,4.0,0.042581475403004276,true,0.030605448414949832,true,-0.026946138537365383,false,0.40285455233574224,4.0,0.042581475403004276,true,0.030605448414949832,true,-0.026946138537365383,false
2019-09-05,sz.002281,30.300165,31.74303,29.434446,30.377118,28.915015,45695520,1447853664.53,2,7.2699,1,5.0566,0,55.559,1.800089,13.086469,0.3921183078829552,4.0,0.011399600185903136,true,-0.033248907944460004,false,-0.08613045516694506,false,0.39516233156312147,4.0,0.011399600185903136,true,-0.033248907944460004,false,-0.08613045516694506,false
2019-09-06,sz.002281,30.684929,31.887317,29.992354,30.742644,30.377118,37440088,1205968767.47,2,5.9565,1,1.2033,0,55.559,1.800089,10.722232,0.43062345822691084,4.0,-0.008135181866595453,false,-0.04849813828634908,false,-0.07790988959830525,false,0.46030169023001755,4.0,-0.008135181866595453,false,-0.04849813828634908,false,-0.07790988959830525,false
2019-09-09,sz.002281,31.069693,31.675696,30.742644,31.560267,30.742644,34482385,1119920299.66,2,5.4859,1,2.6596,0,55.559,1.800089,9.87511,0.22842950136570872,3.0,-0.06949101539603586,false,-0.046022551076643214,false,-0.12099970510388902,false,0.3218793877248069,4.0,-0.06949101539603586,false,-0.046022551076643214,false,-0.12099970510388902,false
2019-09-10,sz.002281,31.271694,31.464076,30.213593,30.473309,31.560267,23761495,757431793.99,2,3.7803,1,-3.4441,0,55.559,1.800089,6.804878,0.2941413682582461,4.0,-0.03156565635848729,false,-0.054292922373477714,false,-0.08901514436781388,false,0.3417625337969835,4.0,-0.03156565635848729,false,-0.054292922373477714,false,-0.08901514436781388,false
2019-09-11,sz.002281,30.521404,30.877311,30.059687,30.146259,30.473309,14209566,448745482.1,2,2.2606,1,-1.0732,0,55.559,1.800089,4.069282,0.36605059757581965,4.0,-0.011486897926538786,false,-0.08647096145495203,false,-0.07594126355777675,false,0.4654485796727145,4.0,-0.011486897926538786,false,-0.08647096145495203,false,-0.07594126355777675,false
2019-09-12,sz.002281,30.329022,30.723405,29.944258,30.723405,30.146259,11873581,375533961.5,2,1.889,1,1.9145,0,55.559,1.800089,3.400369,0.3815156305831611,4.0,-0.04414526970562027,false,-0.09486536404412205,false,-0.08609892035078792,false,0.4268368770737489,4.0,-0.04414526970562027,false,-0.09486536404412205,false,-0.08609892035078792,false
2019-09-16,sz.002281,31.021597,31.21398,30.300165,30.492547,30.723405,16163999,516935924.0,2,2.5716,1,-0.7514,0,55.559,1.800089,4.62911,0.32416053928485095,4.0,-0.040694009588638114,false,-0.10283912983720245,false,-0.09842270637477402,false,0.40876144694353694,4.0,-0.040694009588638114,false,-0.10283912983720245,false,-0.09842270637477402,false
